Disease (MeSH Tree),Disease (MeSH Tree).1,Relationship
MeSH_Tree_Disease:C01.150.252.377,MeSH_Tree_Disease:C01.150.252,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400,MeSH_Tree_Disease:C01.150.252,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.050,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.054,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.054.500,MeSH_Tree_Disease:C01.150.252.400.054,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.054.750,MeSH_Tree_Disease:C01.150.252.400.054,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.054.750.500,MeSH_Tree_Disease:C01.150.252.400.054.750,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.110,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.110.109,MeSH_Tree_Disease:C01.150.252.400.110,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.126,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.126.100,MeSH_Tree_Disease:C01.150.252.400.126,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.126.100.075,MeSH_Tree_Disease:C01.150.252.400.126.100,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.126.100.150,MeSH_Tree_Disease:C01.150.252.400.126.100,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.126.100.800,MeSH_Tree_Disease:C01.150.252.400.126.100,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.143,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.143.500,MeSH_Tree_Disease:C01.150.252.400.143,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.167,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.167.322,MeSH_Tree_Disease:C01.150.252.400.167,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.170,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.170.400,MeSH_Tree_Disease:C01.150.252.400.170,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.170.531,MeSH_Tree_Disease:C01.150.252.400.170,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.177,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.210,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.210.125,MeSH_Tree_Disease:C01.150.252.400.210,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.210.125.123,MeSH_Tree_Disease:C01.150.252.400.210.125,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.210.125.245,MeSH_Tree_Disease:C01.150.252.400.210.125,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.210.125.490,MeSH_Tree_Disease:C01.150.252.400.210.125,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.210.125.745,MeSH_Tree_Disease:C01.150.252.400.210.125,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.210.250,MeSH_Tree_Disease:C01.150.252.400.210,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.210.250.299,MeSH_Tree_Disease:C01.150.252.400.210.250,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.210.250.600,MeSH_Tree_Disease:C01.150.252.400.210.250,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.245,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.260,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.310,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.310.229,MeSH_Tree_Disease:C01.150.252.400.310,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.310.330,MeSH_Tree_Disease:C01.150.252.400.310,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.310.330.500,MeSH_Tree_Disease:C01.150.252.400.310.330,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.310.417,MeSH_Tree_Disease:C01.150.252.400.310,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.310.503,MeSH_Tree_Disease:C01.150.252.400.310,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.310.503.500,MeSH_Tree_Disease:C01.150.252.400.310.503,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.310.708,MeSH_Tree_Disease:C01.150.252.400.310,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.310.821,MeSH_Tree_Disease:C01.150.252.400.310,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.310.821.438,MeSH_Tree_Disease:C01.150.252.400.310.821,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.310.821.606,MeSH_Tree_Disease:C01.150.252.400.310.821,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.310.821.706,MeSH_Tree_Disease:C01.150.252.400.310.821,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.310.821.873,MeSH_Tree_Disease:C01.150.252.400.310.821,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.310.850,MeSH_Tree_Disease:C01.150.252.400.310,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.310.980,MeSH_Tree_Disease:C01.150.252.400.310,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.310.980.390,MeSH_Tree_Disease:C01.150.252.400.310.980,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.310.980.780,MeSH_Tree_Disease:C01.150.252.400.310.980,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.349,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.369,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.388,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.388.350,MeSH_Tree_Disease:C01.150.252.400.388,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.388.350.350,MeSH_Tree_Disease:C01.150.252.400.388.350,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.388.350.700,MeSH_Tree_Disease:C01.150.252.400.388.350,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.466,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.500,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.500.501,MeSH_Tree_Disease:C01.150.252.400.500,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.536,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.536.400,MeSH_Tree_Disease:C01.150.252.400.536,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.536.700,MeSH_Tree_Disease:C01.150.252.400.536,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.536.850,MeSH_Tree_Disease:C01.150.252.400.536,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.560,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.560.022,MeSH_Tree_Disease:C01.150.252.400.560,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.610,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.610.610,MeSH_Tree_Disease:C01.150.252.400.610,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.610.610.717,MeSH_Tree_Disease:C01.150.252.400.610.610,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.610.610.760,MeSH_Tree_Disease:C01.150.252.400.610.610,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.610.850,MeSH_Tree_Disease:C01.150.252.400.610,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.625,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.625.275,MeSH_Tree_Disease:C01.150.252.400.625,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.625.549,MeSH_Tree_Disease:C01.150.252.400.625,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.625.549.449,MeSH_Tree_Disease:C01.150.252.400.625.549,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.625.549.449.800,MeSH_Tree_Disease:C01.150.252.400.625.549.449,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.625.774,MeSH_Tree_Disease:C01.150.252.400.625,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.700,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.700.030,MeSH_Tree_Disease:C01.150.252.400.700,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.700.030.178,MeSH_Tree_Disease:C01.150.252.400.700.030,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.700.433,MeSH_Tree_Disease:C01.150.252.400.700,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.700.433.308,MeSH_Tree_Disease:C01.150.252.400.700.433,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.700.433.615,MeSH_Tree_Disease:C01.150.252.400.700.433,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.700.662,MeSH_Tree_Disease:C01.150.252.400.700,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.700.662.500,MeSH_Tree_Disease:C01.150.252.400.700.662,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.700.675,MeSH_Tree_Disease:C01.150.252.400.700,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.719,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.739,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.755,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.771,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.789,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.789.600,MeSH_Tree_Disease:C01.150.252.400.789,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.789.725,MeSH_Tree_Disease:C01.150.252.400.789,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.789.725.400,MeSH_Tree_Disease:C01.150.252.400.789.725,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.789.725.400.250,MeSH_Tree_Disease:C01.150.252.400.789.725.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.789.725.400.500,MeSH_Tree_Disease:C01.150.252.400.789.725.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.789.725.800,MeSH_Tree_Disease:C01.150.252.400.789.725,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.789.725.805,MeSH_Tree_Disease:C01.150.252.400.789.725,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.789.850,MeSH_Tree_Disease:C01.150.252.400.789,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.794,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.794.352,MeSH_Tree_Disease:C01.150.252.400.794,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.794.352.250,MeSH_Tree_Disease:C01.150.252.400.794.352,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.794.352.250.400,MeSH_Tree_Disease:C01.150.252.400.794.352.250,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.794.352.250.700,MeSH_Tree_Disease:C01.150.252.400.794.352.250,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.794.352.250.850,MeSH_Tree_Disease:C01.150.252.400.794.352.250,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.794.352.500,MeSH_Tree_Disease:C01.150.252.400.794.352,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.794.511,MeSH_Tree_Disease:C01.150.252.400.794,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.794.511.739,MeSH_Tree_Disease:C01.150.252.400.794.511,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.794.840,MeSH_Tree_Disease:C01.150.252.400.794,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.794.840.250,MeSH_Tree_Disease:C01.150.252.400.794.840,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.794.840.500,MeSH_Tree_Disease:C01.150.252.400.794.840,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.794.840.500.500,MeSH_Tree_Disease:C01.150.252.400.794.840.500,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.794.840.500.750,MeSH_Tree_Disease:C01.150.252.400.794.840.500,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.794.840.500.750.800,MeSH_Tree_Disease:C01.150.252.400.794.840.500.750,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.794.840.500.875,MeSH_Tree_Disease:C01.150.252.400.794.840.500,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.794.840.500.937,MeSH_Tree_Disease:C01.150.252.400.794.840.500,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.794.840.500.968,MeSH_Tree_Disease:C01.150.252.400.794.840.500,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.794.840.500.984,MeSH_Tree_Disease:C01.150.252.400.794.840.500,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.794.840.750,MeSH_Tree_Disease:C01.150.252.400.794.840,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.840,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.840.250,MeSH_Tree_Disease:C01.150.252.400.840,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.840.500,MeSH_Tree_Disease:C01.150.252.400.840,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.840.500.500,MeSH_Tree_Disease:C01.150.252.400.840.500,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.840.500.750,MeSH_Tree_Disease:C01.150.252.400.840.500,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.840.500.750.800,MeSH_Tree_Disease:C01.150.252.400.840.500.750,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.840.500.875,MeSH_Tree_Disease:C01.150.252.400.840.500,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.840.500.937,MeSH_Tree_Disease:C01.150.252.400.840.500,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.840.500.968,MeSH_Tree_Disease:C01.150.252.400.840.500,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.840.500.984,MeSH_Tree_Disease:C01.150.252.400.840.500,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.840.750,MeSH_Tree_Disease:C01.150.252.400.840,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.900,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.959,MeSH_Tree_Disease:C01.150.252.400,-subclass_of->
MeSH_Tree_Disease:C01.150.252.400.959.347,MeSH_Tree_Disease:C01.150.252.400.959,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410,MeSH_Tree_Disease:C01.150.252,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040,MeSH_Tree_Disease:C01.150.252.410,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.137,MeSH_Tree_Disease:C01.150.252.410.040,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.137.316,MeSH_Tree_Disease:C01.150.252.410.040.137,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.137.631,MeSH_Tree_Disease:C01.150.252.410.040.137,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.246,MeSH_Tree_Disease:C01.150.252.410.040,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.246.388,MeSH_Tree_Disease:C01.150.252.410.040.246,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.246.694,MeSH_Tree_Disease:C01.150.252.410.040.246,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552,MeSH_Tree_Disease:C01.150.252.410.040,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.475,MeSH_Tree_Disease:C01.150.252.410.040.552,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.475.247,MeSH_Tree_Disease:C01.150.252.410.040.552.475,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.475.371,MeSH_Tree_Disease:C01.150.252.410.040.552.475,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.475.371.775,MeSH_Tree_Disease:C01.150.252.410.040.552.475.371,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.475.371.775.500,MeSH_Tree_Disease:C01.150.252.410.040.552.475.371.775,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.475.371.850,MeSH_Tree_Disease:C01.150.252.410.040.552.475.371,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.475.371.850.249,MeSH_Tree_Disease:C01.150.252.410.040.552.475.371.850,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.475.371.850.500,MeSH_Tree_Disease:C01.150.252.410.040.552.475.371.850,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.475.495,MeSH_Tree_Disease:C01.150.252.410.040.552.475,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.475.747,MeSH_Tree_Disease:C01.150.252.410.040.552.475,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846,MeSH_Tree_Disease:C01.150.252.410.040.552,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.122,MeSH_Tree_Disease:C01.150.252.410.040.552.846,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.493,MeSH_Tree_Disease:C01.150.252.410.040.552.846,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.493.400,MeSH_Tree_Disease:C01.150.252.410.040.552.846.493,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.516,MeSH_Tree_Disease:C01.150.252.410.040.552.846,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.538,MeSH_Tree_Disease:C01.150.252.410.040.552.846,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617,MeSH_Tree_Disease:C01.150.252.410.040.552.846,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.100,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.150,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.150.595,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.150,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.200,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.200.300,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.200,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.200.600,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.200,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.250,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.300,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.350,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.400,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.450,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.475,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.475.500,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.475,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.500,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.525,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.525.722,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.525,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.550,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.725,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.900,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.900.596,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.900,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.900.721,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.900,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.900.847,MeSH_Tree_Disease:C01.150.252.410.040.552.846.617.900,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.764,MeSH_Tree_Disease:C01.150.252.410.040.552.846,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.775,MeSH_Tree_Disease:C01.150.252.410.040.552.846,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.775.500,MeSH_Tree_Disease:C01.150.252.410.040.552.846.775,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.899,MeSH_Tree_Disease:C01.150.252.410.040.552.846,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.552.846.899.669,MeSH_Tree_Disease:C01.150.252.410.040.552.846.899,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.692,MeSH_Tree_Disease:C01.150.252.410.040,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.040.692.500,MeSH_Tree_Disease:C01.150.252.410.040.692,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.090,MeSH_Tree_Disease:C01.150.252.410,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.090.072,MeSH_Tree_Disease:C01.150.252.410.090,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.110,MeSH_Tree_Disease:C01.150.252.410,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.222,MeSH_Tree_Disease:C01.150.252.410,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.222.151,MeSH_Tree_Disease:C01.150.252.410.222,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.222.310,MeSH_Tree_Disease:C01.150.252.410.222,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.222.325,MeSH_Tree_Disease:C01.150.252.410.222,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.222.440,MeSH_Tree_Disease:C01.150.252.410.222,-subclass_of->
MeSH_Tree_Disease:C01.150.252.410.222.864,MeSH_Tree_Disease:C01.150.252.410.222,-subclass_of->
